Time;Vazao01;Vazao02;Vazao03
17/06/2018;199.21;104.83;103.47
18/06/2018;166.56;117.63;107.28
19/06/2018;117.57;57.32;62.4
20/06/2018;275.24;143.2;115.05
21/06/2018;139.83;95.32;72.4
22/06/2018;253.91;131.22;122.94
23/06/2018;264.75;128.9;118.63
24/06/2018;266.64;114.21;110.27
25/06/2018;165.65;112.28;110.71
26/06/2018;220.48;109.9;109.41
27/06/2018;206.58;96.08;104.13
28/06/2018;204.24;111.35;110.56
29/06/2018;219.6;118.05;111.07
30/06/2018;264.65;118.49;118.22
01/07/2018;222.73;113.11;110.12
02/07/2018;201.9;117.18;113.27
03/07/2018;224.08;107.85;109.08
04/07/2018;200.29;105.1;107.39
05/07/2018;157.54;94.29;63.64
06/07/2018;258.2;131.94;128.62
07/07/2018;262.05;117.27;116.67
08/07/2018;247.63;116.85;109.78
09/07/2018;186.31;119.81;97.18
10/07/2018;216.24;103.83;111.6
11/07/2018;210.57;104.29;107.96
12/07/2018;198;71.58;109.06
13/07/2018;208.67;121.19;112.85
14/07/2018;278.5;102.89;119.36
15/07/2018;218.12;95.52;110.29
16/07/2018;168.35;102.74;114.15
17/07/2018;195.53;97.04;114.34
18/07/2018;219.85;95.98;113.53
19/07/2018;212.1;96.97;113.09
20/07/2018;198.74;104.15;113.6
21/07/2018;233.83;93.44;113.87
22/07/2018;199.08;86.2;101.97
23/07/2018;191.54;105.68;113.26
24/07/2018;204.88;95.6;107.06
25/07/2018;199.13;97.27;109.04
26/07/2018;190.85;103.66;111.87
27/07/2018;206.64;107.5;115.7
28/07/2018;236.8;105.53;119.34
29/07/2018;204.64;100.66;112.21
30/07/2018;203.69;95.95;110.45
31/07/2018;199.29;94.18;110.77
01/08/2018;207.58;89.99;106.8
02/08/2018;183.62;95.28;108.52
03/08/2018;214.07;103.15;108.3
04/08/2018;245.19;103.97;116.67
05/08/2018;235.2;100.54;112.02
06/08/2018;169.47;104.55;111.2
07/08/2018;197.32;104.56;114.36
08/08/2018;209.06;98.81;111.11
09/08/2018;219.52;98.45;111.55
10/08/2018;206.21;103.82;112.94
11/08/2018;258.77;112.51;124.96
12/08/2018;224.05;104.12;110.27
13/08/2018;187.05;109.51;116.67
14/08/2018;218.86;105.44;113.34
15/08/2018;205.43;94.68;110.32
16/08/2018;188.26;92.53;107.52
17/08/2018;199.05;97.69;111.14
18/08/2018;217.71;104.61;122.24
19/08/2018;224.44;102.06;115.64
20/08/2018;202.93;106.8;117.57
21/08/2018;212.07;94.68;111.2
22/08/2018;198.33;88.43;107.25
23/08/2018;210.79;106.51;115.14
24/08/2018;209.56;98.53;113.77
25/08/2018;241.76;102.25;120.03
26/08/2018;229.01;97.83;111.24
27/08/2018;166.16;99.05;112.45
28/08/2018;209.03;97.18;108.97
29/08/2018;192.88;104.94;114.07
30/08/2018;218.27;109.21;115.45
31/08/2018;215.77;110.12;115.9
01/09/2018;211.68;102.76;121.93
02/09/2018;256.51;89.28;109.5
03/09/2018;168.35;91.71;109.56
04/09/2018;197.83;93.53;110.48
05/09/2018;210.39;97.58;112.69
06/09/2018;197.92;99.52;113.45
07/09/2018;256.13;102.94;116.84
08/09/2018;202.92;93.33;115.1
09/09/2018;172.07;85.68;108.81
10/09/2018;183.81;94.11;111.78
11/09/2018;210;96.39;111.83
12/09/2018;197.27;94.43;109.97
13/09/2018;177.61;94.89;109.65
14/09/2018;207.28;94.32;108.83
15/09/2018;227.35;101.63;116.14
16/09/2018;252.66;101.19;110.06
17/09/2018;176.11;95.87;110.96
18/09/2018;208.7;108.36;114.98
19/09/2018;217.74;105.88;114.44
20/09/2018;198.48;90.73;106.65
21/09/2018;195.54;108.59;116.04
22/09/2018;259.15;115.19;120.59
23/09/2018;232.06;109.93;113.36
24/09/2018;203.29;109.74;115.45
25/09/2018;221.27;101.85;107.56
26/09/2018;210.16;103.31;103.6
27/09/2018;197.08;103.46;102.63
28/09/2018;220.92;106.38;104.52
29/09/2018;251.19;114.16;108.6
30/09/2018;193.67;107.73;102.98
01/10/2018;192.58;114.62;109.76
02/10/2018;206.59;101.78;102.4
03/10/2018;198.58;103.9;103.34
04/10/2018;191.07;100.91;101.9
05/10/2018;201.67;103.74;102.3
06/10/2018;229.93;95.09;103.9
07/10/2018;203.97;124.14;99.67
08/10/2018;191.76;113.59;106.27
09/10/2018;214;120.01;113.06
10/10/2018;219.94;109.57;108.8
11/10/2018;179.44;96.4;101.91
12/10/2018;269.99;114.34;109.77
13/10/2018;210.19;105.08;108.48
14/10/2018;199.63;95.17;100.37
15/10/2018;167.58;98.94;103.24
16/10/2018;163.36;97.14;104.41
17/10/2018;231.99;115.54;112.07
18/10/2018;233.44;109.81;104.44
19/10/2018;223.52;104.48;102.93
20/10/2018;214.71;119.98;112.79
21/10/2018;225.46;105.57;101.35
22/10/2018;186.72;114.72;108.13
23/10/2018;210.42;111.29;98.66
24/10/2018;81.94;37.52;58.43
25/10/2018;241.8;142.25;110.69
26/10/2018;222.7;117.93;103.13
27/10/2018;259.33;126.54;113.21
28/10/2018;228.28;111.7;102.67
29/10/2018;209.45;108.6;102.25
30/10/2018;214.95;110.89;105.01
31/10/2018;206.22;104.33;98.98
01/11/2018;197.35;104.12;100.5
02/11/2018;257.37;113.71;102.61
03/11/2018;209.19;111.31;106.28
04/11/2018;209.6;100.72;94.55
05/11/2018;171.43;107.02;101.85
06/11/2018;190.44;106.39;102.56
07/11/2018;209.86;103.07;100.97
08/11/2018;202;102.41;99.71
09/11/2018;193.44;101.86;97.95
10/11/2018;237.64;114.63;107.42
11/11/2018;234.2;117;104.55
12/11/2018;177.06;121.03;108.03
13/11/2018;223.65;123.38;96.25
14/11/2018;218.38;114.57;105.85
15/11/2018;241.18;114.89;108.29
16/11/2018;202.19;116.61;107.23
17/11/2018;221.09;95.18;104.3
18/11/2018;228.54;113.16;91.69
19/11/2018;171.89;110.73;100.55
20/11/2018;218.01;119.71;104.8
21/11/2018;220.64;108.42;103.82
22/11/2018;211.57;114.12;107.04
23/11/2018;202.38;112.61;108.01
24/11/2018;214.81;112.42;110.89
25/11/2018;267.69;113.46;106.85
26/11/2018;167.28;107.61;104.75
27/11/2018;204.14;105.11;104.33
28/11/2018;212.56;105.61;104.53
29/11/2018;216.91;110.24;105.83
30/11/2018;215.06;114.3;107.86
01/12/2018;220.57;112.26;109.68
02/12/2018;249.08;107.71;103.85
03/12/2018;154.27;105.8;103.89
04/12/2018;217.14;114.06;107.59
05/12/2018;209.79;115.55;109.5
06/12/2018;224.72;115.05;108.72
07/12/2018;202.58;104.67;104.48
08/12/2018;260.67;108.65;107.96
09/12/2018;204.93;112.86;104.71
10/12/2018;201.74;119.82;111.48
11/12/2018;213.61;120.88;111.97
12/12/2018;223.76;121.34;112.05
13/12/2018;258.46;122.63;113.48
14/12/2018;194.39;125.36;115.08
15/12/2018;259.91;126.77;118.49
16/12/2018;268.55;114.77;108.21
17/12/2018;191.99;123.63;114.82
18/12/2018;214.73;117.52;112.41
19/12/2018;220.38;114.41;106.09
20/12/2018;240.32;118.4;108.35
21/12/2018;220.58;119.08;107.93
22/12/2018;238.9;120;110.86
23/12/2018;248.22;110.35;101.71
24/12/2018;191.32;112.65;107.27
25/12/2018;239.9;97.92;98.54
26/12/2018;175;119.09;109.08
27/12/2018;228.94;111.1;106.57
28/12/2018;212.76;115.12;107.55
29/12/2018;234.84;108.57;106.52
30/12/2018;223.95;103.15;99.42
31/12/2018;189.42;111.81;108.95
01/01/2019;218.48;97.8;98.13
02/01/2019;178.69;118.1;109.46
03/01/2019;224.57;118.96;110.38
04/01/2019;208.12;109.51;106.08
05/01/2019;221.18;102.63;104.61
06/01/2019;195.22;104.09;102.17
07/01/2019;190.54;117.95;111.02
08/01/2019;235.98;114.79;109.44
09/01/2019;228.47;117.42;110.49
10/01/2019;213.2;118.12;110.42
11/01/2019;234.57;131.59;109.1
12/01/2019;261.16;127.94;109.02
13/01/2019;255.74;115.34;102.45
14/01/2019;177.17;112.82;107.42
15/01/2019;210.18;120.9;102.31
16/01/2019;216.19;112.51;101.63
17/01/2019;221.14;110.09;106.04
18/01/2019;222.45;117.11;108.52
19/01/2019;206.86;111.13;111
20/01/2019;254.48;96.44;98.19
21/01/2019;165.48;110.99;111.6
22/01/2019;149.9;127.05;32.53
23/01/2019;222.9;119.08;113.1
24/01/2019;250.42;108.11;108.31
25/01/2019;201.55;110.43;109.05
26/01/2019;223.58;110.08;111.33
