Time;Vazao03
18/10/2018;104.44
19/10/2018;102.93
20/10/2018;112.79
21/10/2018;101.35
22/10/2018;108.13
23/10/2018;98.66
24/10/2018;58.43
25/10/2018;110.69
26/10/2018;103.13
27/10/2018;113.21
28/10/2018;102.67
29/10/2018;102.25
30/10/2018;105.01
31/10/2018;98.98
01/11/2018;100.5
02/11/2018;102.61
03/11/2018;106.28
04/11/2018;94.55
05/11/2018;101.85
06/11/2018;102.56
07/11/2018;100.97
08/11/2018;99.71
09/11/2018;97.95
10/11/2018;107.42
11/11/2018;104.55
12/11/2018;108.03
13/11/2018;96.25
14/11/2018;105.85
15/11/2018;108.29
16/11/2018;107.23
17/11/2018;104.3
18/11/2018;91.69
19/11/2018;100.55
20/11/2018;104.8
21/11/2018;103.82
22/11/2018;107.04
23/11/2018;108.01
24/11/2018;110.89
25/11/2018;106.85
26/11/2018;104.75
27/11/2018;104.33
28/11/2018;104.53
29/11/2018;105.83
30/11/2018;107.86
01/12/2018;109.68
02/12/2018;103.85
03/12/2018;103.89
04/12/2018;107.59
05/12/2018;109.5
06/12/2018;108.72
07/12/2018;104.48
08/12/2018;107.96
09/12/2018;104.71
10/12/2018;111.48
11/12/2018;111.97
12/12/2018;112.05
13/12/2018;113.48
14/12/2018;115.08
15/12/2018;118.49
16/12/2018;108.21
17/12/2018;114.82
18/12/2018;112.41
19/12/2018;106.09
20/12/2018;108.35
21/12/2018;107.93
22/12/2018;110.86
23/12/2018;101.71
24/12/2018;107.27
25/12/2018;98.54
26/12/2018;109.08
27/12/2018;106.57
28/12/2018;107.55
29/12/2018;106.52
30/12/2018;99.42
31/12/2018;108.95
01/01/2019;98.13
02/01/2019;109.46
03/01/2019;110.38
04/01/2019;106.08
05/01/2019;104.61
06/01/2019;102.17
07/01/2019;111.02
08/01/2019;109.44
09/01/2019;110.49
10/01/2019;110.42
11/01/2019;109.1
12/01/2019;109.02
13/01/2019;102.45
14/01/2019;107.42
15/01/2019;102.31
16/01/2019;101.63
17/01/2019;106.04
18/01/2019;108.52
19/01/2019;111
20/01/2019;98.19
21/01/2019;111.6
22/01/2019;32.53
23/01/2019;113.1
24/01/2019;108.31
25/01/2019;109.05
26/01/2019;111.33
